Bangladesh/BCSIR-NILMRC-259/20: Unaccepted_mismatch
USA/WA-UW-29740/2020: Unaccepted_mismatch
USA/TX-HMH-5451/2020: Unaccepted_mismatch
USA/WI-UW-1266/2020: Unaccepted_mismatch
USA/TX-HMH-6563/2020: Unaccepted_mismatch
USA/WI-UW-1117/2020: Unaccepted_mismatch
Australia/VIC16942/2020: Unaccepted_mismatch
USA/TX-DSHS-0521/2020: Unaccepted_mismatch
USA/TX-HMH-2719/2020: Unaccepted_mismatch
USA/WI-UW-768/2020: Unaccepted_mismatch
SouthAfrica/KRISP-K002526/2020: Unaccepted_mismatch
USA/TX-HMH-4546/2020: Unaccepted_mismatch
USA/TX-DSHS-1810/2020: Unaccepted_mismatch
England/CAMC-A578DB/2020: Unaccepted_mismatch
USA/TX-HMH-7822/2020: Unaccepted_mismatch
Luxembourg/LNS6975113/2020: N
England/QEUH-C5456C/2020: Unaccepted_mismatch
England/SHEF-10D4F9C/2020: Unaccepted_mismatch
England/20166071404/2020: N
Luxembourg/LNS2457065/2020: N
England/QEUH-C5CAB0/2020: Unaccepted_mismatch
USA/WI-UW-1415/2020: Unaccepted_mismatch
USA/TX-HMH-4283/2020: Unaccepted_mismatch
Switzerland/VS-ETHZ-410872/202: Unaccepted_mismatch
USA/TX-HMH-7531/2020: Unaccepted_mismatch
USA/TX-HMH-1428/2020: Unaccepted_mismatch
USA/TX-HMH-7580/2020: Unaccepted_mismatch
USA/WA-UW-23293/2020: Unaccepted_mismatch
USA/CA-CZB-1106/2020: N
USA/TX-HMH-5892/2020: Unaccepted_mismatch
Luxembourg/LNS7390736/2020: N
Luxembourg/LNS8357267/2020: N
England/QEUH-BA363F/2020: Unaccepted_mismatch
Netherlands/Utrecht_37/2020: Unaccepted_mismatch
USA/TX-HMH-4882/2020: Unaccepted_mismatch
England/QEUH-B3F47A/2020: Unaccepted_mismatch
USA/TX-DSHS-1830/2020: Unaccepted_mismatch
England/QEUH-B418C4/2020: Unaccepted_mismatch
USA/CA-CZB-5154/2020: Unaccepted_mismatch
USA/TX-HMH-4591/2020: Unaccepted_mismatch
USA/TX-HMH-5640/2020: Unaccepted_mismatch
USA/WI-UW-1326/2020: Unaccepted_mismatch
USA/WA-UW-22124/2020: Unaccepted_mismatch
England/ALDP-B2640D/2020: Unaccepted_mismatch
