Ireland/CW-NVRL-78IRL78764/202: Unaccepted_mismatch
England/CAMC-BC1835/2020: Unaccepted_mismatch
England/MILK-C60E08/2020: Unaccepted_mismatch
France/PAC-IHU-0446/2020: Unaccepted_mismatch
USA/AZ-TG271408/2020: N
England/ALDP-B5DF2A/2020: Unaccepted_mismatch
BurkinaFaso/4307/2020: Unaccepted_mismatch
Ireland/MO-NVRL-79IRL03919/202: Unaccepted_mismatch
USA/WA-UW-845/2020: N
USA/NY-Wadsworth-200225-01/202: Unaccepted_mismatch
Spain/AR-IBV-005033/2020: Unaccepted_mismatch
Luxembourg/LNS6975113/2020: N
USA/TX-HMH-2073/2020: Unaccepted_mismatch
England/204200187/2020: N
Austria/CeMM0608/2020: N
Luxembourg/LNS5264460/2020: N
Luxembourg/LNS6546741/2020: N
England/QEUH-B7D81A/2020: Unaccepted_mismatch
Luxembourg/LNS5745348/2020: N
Switzerland/TI-ETHZ-120175/202: Unaccepted_mismatch
England/ALDP-9ED228/2020: N
Switzerland/ZH-ETHZ-410004/202: Unaccepted_mismatch
England/201620048/2020: N
England/OXON-B02CD/2020: N
Australia/VIC12099/2020: N
Luxembourg/LNS7397711/2020: N
Switzerland/ZH-ETHZ-420697/202: Unaccepted_mismatch
Netherlands/GE-EMC-347/2020: N
USA/CA-CZB-7206/2020: Unaccepted_mismatch
Germany/NW-HHU-302/2020: Unaccepted_mismatch
England/20166071404/2020: N
Germany/BY-IMB01262/2020: N
Wales/PHWC-169462/2020: N
Switzerland/BL-ETHZ-101148/202: Unaccepted_mismatch
Australia/VIC2095/2020: N
England/SHEF-10B27F6/2020: N
Russia/ORE-RII-MH4423S/2020: Unaccepted_mismatch
England/QEUH-C5456C/2020: Unaccepted_mismatch
Australia/VIC8608/2020: Unaccepted_mismatch
Scotland/CVR3456/2020: N
USA/TX-HMH-1972/2020: Unaccepted_mismatch
CostaRica/INC-0091/2020: N
England/ALDP-A2EB6B/2020: Unaccepted_mismatch
Luxembourg/LNS2706735/2020: N
Germany/BY-IMB01259/2020: N
England/OXON-B1912/2020: N
England/QEUH-AAC88C/2020: Unaccepted_mismatch
USA/WA-S2354/2020: N
Germany/HH-hpi-p1927/2020: N
England/ALDP-BBAF94/2020: Unaccepted_mismatch
